date,SMALL LoBM,ME1 BM2,SMALL HiBM,BIG LoBM,ME2 BM2,BIG HiBM
19460105,0.47,0.20,0.50,0.22,0.44,0.39
19460107,0.36,0.20,0.40,0.07,0.00,0.22
19460108,2.77,2.86,3.15,1.92,1.62,3.23
19460109,1.73,1.67,1.82,1.28,1.57,1.46
19460110,0.67,0.76,0.63,0.79,0.45,0.67
19460111,0.16,0.62,0.48,0.30,0.19,0.38
19460112,-0.70,-0.82,-0.97,-0.67,-0.35,-0.48
19460114,1.70,2.05,2.43,1.40,1.31,1.62
19460115,0.45,-0.03,0.17,0.37,0.17,-0.06
19460116,-0.02,0.09,0.70,0.18,0.05,0.36
19460117,-0.14,-0.16,0.01,-0.15,-0.26,-0.78
19460118,0.34,-0.06,-0.28,-0.25,-0.29,0.05
19460119,-0.68,-0.49,-0.59,-1.05,-0.83,-0.53
19460121,-1.85,-2.67,-1.88,-1.86,-1.47,-2.26
19460122,0.68,0.91,1.94,0.51,0.59,0.67
19460123,1.79,1.93,1.96,1.09,0.71,1.23
19460124,0.93,1.00,0.71,0.52,0.31,-0.01
19460125,-0.47,-0.14,-0.01,0.02,-0.29,-0.18
19460126,0.29,0.44,0.72,0.01,0.20,0.11
19460128,2.45,2.21,2.52,2.52,1.85,2.80
19460129,0.33,0.30,0.38,0.29,0.13,0.61
19460130,-0.49,-0.66,-1.12,-0.27,-0.44,-0.43
19460131,-0.51,-0.46,-0.54,-0.38,0.08,-0.11
19460201,-0.13,0.59,1.10,0.64,0.43,0.87
19460202,1.06,0.74,0.86,0.56,0.50,0.48
19460204,-0.63,-0.25,-0.50,-0.51,-0.46,-0.78
19460205,0.19,0.53,0.63,0.05,0.56,0.91
19460206,-0.66,-0.47,-0.77,-0.58,-0.48,-1.02
19460207,-0.23,-0.29,0.07,-0.07,-0.14,0.33
19460208,-0.33,-0.25,-0.43,-0.09,-0.28,-0.68
19460209,-0.87,-1.16,-1.35,-0.68,-0.81,-1.20
19460211,-0.09,-0.53,-0.90,-0.38,-0.60,-1.18
19460213,-1.51,-1.63,-1.70,-1.44,-0.85,-1.06
19460214,1.73,1.66,1.57,0.51,0.70,1.00
19460215,2.48,2.03,2.45,1.80,1.66,2.17
19460216,1.18,0.93,1.11,1.23,0.79,0.84
19460218,-1.51,-1.50,-2.12,-1.42,-1.09,-1.97
19460219,-4.27,-4.30,-4.68,-3.04,-3.07,-3.90
19460220,-1.88,-1.93,-1.85,-1.96,-1.39,-1.81
19460221,2.80,2.55,2.93,1.99,1.63,2.50
19460225,-5.42,-5.11,-6.22,-4.30,-4.25,-5.00
19460226,-1.17,-1.15,-0.44,-0.56,-0.38,-0.51
19460227,2.85,2.49,2.95,1.59,2.19,2.30
19460228,0.41,0.37,0.26,0.81,0.48,0.43
19460301,0.21,0.01,0.18,-0.17,-0.22,-0.41
19460302,-1.03,-0.92,-1.37,-0.62,-0.33,-0.91
19460304,-0.23,-0.30,-0.24,-0.14,-0.12,0.24
19460305,1.35,1.33,1.01,1.25,1.25,0.95
19460306,-0.68,-0.47,-0.43,-0.40,-0.12,-0.58
19460307,1.00,0.89,0.72,0.89,0.62,0.75
19460308,0.69,0.81,1.04,0.93,0.74,0.44
19460309,0.36,0.25,0.35,0.21,0.31,0.23
19460311,-1.06,-1.01,-0.88,-0.61,-0.96,-1.21
19460312,-0.14,0.19,0.10,0.22,0.48,0.34
19460313,-2.58,-2.31,-2.60,-1.24,-1.65,-1.99
19460314,0.42,-0.10,0.07,-0.29,0.16,-0.12
19460315,1.34,1.33,1.37,0.90,0.95,1.73
19460316,1.41,1.00,1.27,1.00,1.15,1.17
19460318,1.38,0.98,1.14,0.71,0.54,0.90
19460319,-0.14,0.06,-0.44,-0.42,-0.39,-0.81
19460320,0.29,0.25,0.64,0.70,0.80,1.01
19460321,1.08,0.91,1.15,0.21,0.88,0.47
19460322,0.05,0.56,0.34,0.46,0.21,-0.20
19460323,0.30,0.13,0.59,0.43,0.34,0.34
19460325,2.02,1.83,1.55,1.38,1.37,2.06
19460326,0.25,0.46,-0.04,0.15,0.01,-0.06
19460327,-1.12,-1.03,-0.89,-0.63,-0.57,-0.68
19460328,-0.22,-0.08,-0.08,-0.34,0.14,-0.12
19460329,1.17,0.85,1.13,0.40,0.86,1.14
19460330,0.34,0.26,0.09,0.15,0.41,0.46
19460401,-0.36,-0.31,-0.22,-0.01,0.02,-0.54
19460402,-0.05,0.68,0.39,0.22,0.12,-0.26
19460403,1.76,1.72,2.01,1.56,1.14,1.83
19460404,1.78,1.71,1.70,1.03,0.88,1.17
19460405,-0.10,0.19,-0.06,-0.07,0.02,-0.28
19460406,-0.09,0.19,0.11,0.34,0.21,-0.03
19460408,-0.11,0.07,-0.23,0.25,-0.05,-0.29
19460409,1.10,0.88,1.07,1.25,1.08,0.98
19460410,-0.22,0.16,-0.03,-0.29,-0.09,-0.25
19460411,-0.48,-0.58,-0.62,-0.22,-0.19,-0.24
19460412,0.22,-0.08,0.19,0.07,-0.07,-0.11
19460413,-0.41,-0.38,-0.53,-0.53,-0.35,-0.74
19460415,0.26,-0.01,0.02,-0.12,0.23,-0.18
19460416,1.60,1.10,1.32,0.97,1.38,1.62
19460417,0.17,0.41,0.29,-0.05,0.17,0.03
19460418,0.29,0.93,0.84,0.20,0.35,0.69
19460420,0.15,0.34,0.29,-0.11,0.18,0.05
19460422,-0.43,0.02,-0.23,0.17,-0.13,-0.47
19460423,-0.60,-0.51,-0.51,-0.27,-0.23,-0.15
19460424,-0.96,-0.76,-1.25,-0.82,-0.49,-1.08
19460425,-0.32,-0.67,-0.50,-0.66,-0.50,-0.73
19460426,0.22,0.59,0.57,-0.08,0.24,0.59
19460427,0.19,1.06,1.06,0.62,0.65,0.55
19460429,0.28,0.30,0.26,0.01,0.26,0.04
19460430,0.44,0.64,0.33,0.28,0.24,0.49
19460501,-0.24,-0.28,-0.25,-0.30,-0.20,0.04
19460502,-0.25,-0.07,-0.35,-0.36,-0.28,-0.71
19460503,-0.98,-0.82,-1.09,-0.75,-0.77,-1.08
19460504,-0.54,-0.66,-0.67,-0.35,-0.40,-0.37
19460506,-1.15,-1.21,-0.63,-0.82,-0.64,-0.56
19460507,1.91,2.14,2.26,1.26,1.41,1.96
19460508,0.17,0.37,0.31,0.20,0.20,-0.48
19460509,0.34,0.49,0.96,-0.11,0.42,-0.08
19460510,2.05,2.07,2.73,1.49,1.06,2.08
19460511,0.68,0.53,0.16,0.66,0.40,0.53
19460513,0.39,-0.05,-0.31,-0.22,0.07,-0.28
19460514,-0.25,-0.34,-0.40,-0.35,-0.06,-0.28
19460515,-1.20,-0.61,-0.89,-0.66,-0.57,-0.52
19460516,0.73,0.39,0.65,0.60,0.34,0.63
19460517,0.87,-0.05,-0.19,-0.03,0.00,-0.21
19460518,-0.31,-0.48,-0.78,-0.34,-0.46,-0.33
19460520,0.51,0.54,0.93,0.82,0.52,1.02
19460521,0.27,0.67,0.70,0.12,0.32,0.65
19460522,0.64,0.38,0.88,0.42,0.26,1.15
19460523,0.08,-0.04,-0.09,-0.11,-0.04,0.01
19460524,0.28,-0.09,-0.11,-0.07,-0.02,0.17
19460527,1.17,1.13,1.02,0.80,0.89,1.03
19460528,1.17,1.02,1.50,1.19,0.93,1.45
19460529,0.42,0.21,-0.27,0.23,0.14,0.34
19460531,-0.15,-0.15,-0.34,-0.10,0.06,0.09
19460603,-0.92,-0.59,-0.61,-0.56,-0.29,-1.16
19460604,-0.82,-0.62,-1.20,-0.70,-0.36,-0.71
19460605,-1.06,-0.63,-0.71,-0.34,-0.69,-0.93
19460606,-0.30,-0.23,-0.22,-0.02,-0.02,0.12
19460607,0.50,0.18,0.10,0.09,0.17,0.26
19460610,0.65,0.11,0.77,0.13,0.14,0.31
19460611,-0.40,-0.83,-1.00,-1.21,-0.61,-0.83
19460612,-0.15,-0.29,-0.19,0.04,0.02,0.49
19460613,0.47,0.74,0.42,0.62,0.39,0.93
19460614,-0.09,0.11,-0.10,-0.23,0.05,-0.36
19460617,-0.12,0.23,0.22,-0.13,0.29,0.18
19460618,-1.61,-1.89,-2.16,-1.46,-1.40,-1.84
19460619,-1.05,-0.84,-0.73,-0.56,-0.80,-0.35
19460620,-1.74,-2.35,-2.56,-2.23,-1.61,-2.33
19460621,1.18,0.40,0.60,0.83,0.60,0.99
19460624,-0.29,0.66,0.22,0.38,0.29,0.26
19460625,-0.55,-0.94,-1.03,-0.57,-0.37,-1.24
19460626,-0.63,-1.13,-0.98,-0.33,-0.26,-0.03
19460627,2.12,2.09,2.61,1.47,1.73,2.00
19460628,0.10,0.58,0.50,0.32,0.13,0.09
19460701,0.96,0.69,0.90,0.88,0.58,0.84
19460702,-0.94,-0.37,-0.87,-0.26,-0.26,-0.15
19460703,-0.26,-0.16,0.00,-0.31,0.07,-0.08
19460705,-0.15,-0.24,-0.23,0.09,-0.22,-0.39
19460708,-0.44,-0.43,-0.30,-0.51,0.00,-0.29
19460709,0.24,0.22,0.39,0.58,0.21,0.45
19460710,0.15,0.39,0.20,0.18,0.29,0.34
19460711,-0.45,-0.54,-0.72,-0.40,-0.43,-0.60
19460712,-1.11,-1.01,-1.60,-0.87,-0.73,-0.82
19460715,-2.22,-2.67,-2.27,-2.00,-1.38,-1.81
19460716,-0.64,-0.65,-0.11,-0.20,-0.36,0.21
19460717,0.57,0.84,0.95,0.59,0.33,0.48
19460718,0.55,0.33,0.00,-0.22,0.16,-0.22
19460719,-0.61,-0.44,-0.77,-0.29,-0.41,-0.38
19460722,-0.21,-0.79,-1.14,-0.29,-0.50,-0.26
19460723,-4.12,-3.71,-3.96,-2.93,-2.50,-3.67
19460724,-0.06,-0.13,-0.04,-0.16,-0.09,0.41
19460725,1.11,0.96,1.26,0.57,0.50,0.96
19460726,0.73,1.12,0.86,0.31,0.59,0.86
19460729,0.12,0.74,0.50,0.40,0.36,0.46
19460730,0.59,0.85,0.32,0.69,0.62,0.33
19460731,1.40,1.73,1.64,1.48,0.82,1.02
19460801,0.49,0.40,0.78,0.55,0.54,0.44
19460802,0.16,-0.20,0.07,0.12,0.11,-0.02
19460805,-0.29,-0.33,-0.18,-0.71,-0.42,-0.37
19460806,-0.55,-0.61,-0.35,-0.37,-0.27,-0.47
19460807,0.64,0.71,1.20,0.96,0.78,0.92
19460808,0.29,0.33,0.43,0.62,0.31,0.62
19460809,-0.29,0.05,-0.47,-0.43,-0.02,-0.33
19460812,0.18,-0.02,-0.07,0.14,0.07,0.22
19460813,0.23,0.54,0.47,0.83,0.52,0.77
19460814,-0.08,-0.26,-0.14,-0.04,0.09,-0.11
19460815,-0.89,-1.02,-1.08,-0.92,-0.83,-1.20
19460816,-1.23,-0.79,-1.01,-1.13,-0.63,-0.47
19460819,-0.44,-0.61,-0.04,-0.42,-0.23,-0.24
19460820,0.69,0.72,0.72,0.71,0.48,0.65
19460821,-0.66,-0.67,-0.82,-0.70,-0.73,-0.92
19460822,-2.30,-2.69,-2.46,-1.13,-1.86,-1.76
19460823,0.86,1.05,0.96,0.59,0.55,0.62
19460826,-0.57,-0.38,-0.87,-0.57,-0.40,-0.91
19460827,-5.00,-4.12,-4.75,-3.49,-2.79,-3.53
19460828,-0.44,-1.37,-0.74,-1.01,-0.95,-0.51
19460829,0.90,1.16,1.17,0.47,0.02,0.30
19460830,-0.42,-0.53,-0.28,-0.50,-0.67,-0.04
19460903,-8.54,-8.10,-9.43,-6.94,-6.08,-7.88
19460904,-1.15,-2.03,-1.54,-0.16,-1.11,-0.31
19460905,4.36,4.25,4.54,3.47,3.33,3.69
19460906,-1.09,-0.66,-1.14,-0.99,-1.14,-1.32
19460909,-6.58,-7.01,-7.44,-5.24,-4.74,-5.69
19460910,-2.89,-2.74,-3.26,-2.34,-2.22,-2.61
19460911,3.17,2.58,3.15,2.79,2.77,3.53
19460912,0.25,0.74,0.68,-0.23,0.25,0.31
19460913,2.23,2.05,2.22,1.74,2.11,1.51
19460916,0.78,1.52,1.24,0.49,0.71,0.73
19460917,-0.78,-1.17,-1.10,-0.89,-0.55,-0.68
19460918,-4.34,-4.25,-5.00,-2.89,-3.11,-3.34
19460919,-3.39,-3.69,-3.96,-2.65,-2.53,-3.81
19460920,2.13,2.63,2.50,2.50,2.08,2.74
19460923,-1.49,-0.73,-0.63,-1.81,-1.21,-2.42
19460924,1.07,0.82,0.95,1.84,1.27,2.68
19460925,3.10,3.42,3.21,2.50,2.27,2.16
19460926,1.06,0.81,1.42,1.11,0.91,1.38
19460927,-0.60,-0.27,-0.82,-0.88,-0.46,-0.73
19460930,-1.27,-1.62,-1.49,-0.98,-0.80,-1.58
19461001,-0.41,-0.17,-0.35,-0.38,-0.39,-0.30
19461002,0.71,1.11,0.73,1.02,0.97,0.95
19461003,-0.59,-0.72,-1.00,-0.44,-0.48,-0.36
19461004,-1.51,-0.85,-0.98,-1.31,-0.85,-1.47
19461005,-0.31,-0.49,-0.34,-0.79,-0.46,-0.82
19461007,-0.75,-0.69,-0.23,-0.30,-0.11,0.14
19461008,-0.75,-0.60,-0.95,-1.27,-0.75,-1.38
19461009,-3.99,-3.79,-3.81,-2.84,-2.51,-3.22
19461010,1.01,0.60,0.85,0.93,0.73,2.51
19461011,2.26,2.96,2.77,1.84,2.14,2.05
19461014,1.38,0.79,1.42,1.24,0.86,0.73
19461015,4.45,4.32,4.93,3.92,3.51,4.37
19461016,0.67,0.63,0.72,-0.28,-0.24,-0.75
19461017,-2.04,-2.60,-2.57,-1.84,-1.43,-1.92
19461018,-0.54,-0.35,-0.14,-0.40,-0.20,-0.17
19461019,-0.25,0.01,-0.12,-0.33,0.03,-0.02
19461021,-0.18,0.12,0.45,0.24,0.07,0.34
19461022,-0.67,-0.53,-0.66,-0.74,-0.56,-0.45
19461023,-1.46,-0.96,-1.18,-0.66,-0.99,-1.29
19461024,0.18,0.31,0.71,-0.15,0.16,0.53
19461025,-0.77,-0.37,-0.47,-0.60,-0.40,-0.22
19461026,0.55,0.09,0.08,-0.12,-0.04,0.01
19461028,-1.68,-1.44,-1.95,-1.34,-2.15,-1.93
19461029,-1.39,-1.12,-1.00,-1.00,-0.56,-1.16
19461030,-0.46,-0.87,-0.05,-0.03,-0.45,0.76
19461031,3.66,4.14,4.33,3.38,2.55,3.88
19461101,2.75,2.36,3.15,2.08,1.35,1.87
19461102,0.65,0.60,0.70,0.50,0.64,0.79
19461104,0.53,0.92,0.90,1.19,0.67,0.41
19461106,-3.10,-3.36,-4.24,-3.99,-3.14,-4.31
19461107,0.00,-0.33,0.25,0.24,0.33,1.08
19461108,0.20,0.43,1.00,0.41,0.61,0.85
19461109,1.08,0.98,1.89,0.94,0.91,1.24
19461112,-0.12,-0.18,-0.73,-0.19,-0.34,-1.19
19461113,-1.58,-1.26,-0.96,-0.93,-0.67,-0.41
19461114,0.41,0.58,0.77,0.68,0.42,0.40
19461115,-1.02,-0.91,-1.16,-0.96,-0.94,-1.00
19461116,-0.10,0.10,-0.21,-0.04,-0.15,0.15
19461118,-1.32,-0.83,-1.41,-0.83,-0.84,-1.20
19461119,-0.91,-0.80,-0.71,-0.35,-0.51,-0.38
19461120,-1.01,-0.79,-0.71,-0.60,-0.56,-0.73
19461121,-1.91,-2.21,-2.48,-1.97,-1.30,-2.04
19461122,-0.65,-0.52,-0.47,-0.88,-0.42,-0.28
19461123,2.02,1.61,2.48,1.94,1.21,1.91
19461125,-0.59,-0.15,-0.36,-0.63,0.21,-0.32
19461126,0.91,0.93,1.56,1.29,1.29,1.28
19461127,1.13,1.08,1.07,1.05,1.00,0.70
19461129,0.96,0.86,1.03,0.88,1.10,1.37
19461130,0.30,0.47,0.34,0.14,0.01,-0.15
19461202,-1.65,-1.51,-2.10,-1.68,-1.27,-1.73
19461203,0.00,0.00,0.62,0.57,0.30,0.56
19461204,2.08,1.62,2.01,1.98,1.58,1.63
19461205,-0.85,-0.69,-0.92,-0.62,-0.39,-0.61
19461206,0.49,0.29,0.67,0.62,0.28,0.24
19461207,0.89,3.75,0.88,0.53,0.71,1.26
19461209,4.59,0.53,3.78,3.48,2.66,3.68
19461210,0.08,0.26,-0.29,-0.14,0.09,-0.34
19461211,-0.43,-0.27,-0.27,0.11,0.34,-0.11
19461212,-1.19,-0.93,-1.46,-1.13,-0.96,-1.42
19461213,-0.52,-0.28,-0.05,0.07,0.24,0.23
19461214,1.15,0.62,0.64,0.57,0.40,0.91
19461216,0.26,0.39,-0.14,-0.17,-0.17,-0.07
19461217,-0.29,-0.49,-0.17,-0.42,-0.22,-0.66
19461218,-0.50,-0.10,-0.21,0.59,-0.05,0.27
19461219,2.27,2.18,1.86,1.51,1.26,1.51
19461220,0.89,0.68,0.74,0.34,0.31,0.02
19461221,0.28,0.18,0.49,0.08,0.25,0.23
19461223,-0.88,-0.62,-0.78,-0.86,-0.46,-1.12
19461224,-0.30,-0.23,-0.09,-0.28,-0.10,-0.10
19461226,-1.02,-0.84,-0.88,-0.75,-0.59,-1.17
19461227,-0.54,-0.80,-0.76,-0.23,0.02,-0.25
19461228,0.83,0.53,0.67,0.44,0.25,0.69
19461230,-0.52,-0.19,-0.52,-0.20,0.13,-0.39
19461231,0.66,0.48,0.68,0.88,0.59,0.80
19470102,-0.04,-0.14,0.00,-0.70,-0.68,-0.59
19470103,0.31,-0.58,-0.48,0.57,-0.06,0.09
19470104,0.74,0.90,0.72,0.12,0.27,0.26
19470106,1.42,0.88,1.04,0.87,0.61,1.09
19470107,-1.29,-0.74,-1.12,-0.62,-0.71,-0.75
19470108,0.23,0.03,-0.25,0.28,0.10,0.33
19470109,0.65,0.34,0.41,0.22,0.12,0.14
19470110,-1.73,-1.60,-1.58,-1.15,-1.00,-1.28
19470111,-1.35,-1.50,-1.56,-1.41,-1.28,-1.41
19470113,-2.58,-2.10,-2.41,-1.57,-1.38,-1.81
19470114,0.45,0.45,0.39,0.37,0.14,0.57
19470115,-0.49,-0.35,-0.28,-0.46,-0.39,-0.67
19470116,-0.44,-0.72,-0.59,-0.18,-0.25,0.27
19470117,1.98,1.98,2.59,2.03,1.22,1.74
19470118,2.28,2.07,1.74,1.19,0.91,1.01
19470120,-1.40,-1.24,-0.85,-1.22,-0.91,-1.29
19470121,-0.41,-0.33,-0.75,-0.38,-0.39,-0.12
19470122,0.31,0.53,0.74,0.45,0.23,0.43
19470123,1.20,0.90,1.20,0.90,0.67,0.75
19470124,0.55,0.60,0.84,0.33,0.22,0.18
19470125,0.45,0.06,-0.12,0.18,-0.12,-0.08
19470127,0.15,0.09,0.59,1.03,0.52,0.47
19470128,1.20,0.87,0.94,0.60,0.48,0.90
19470129,1.56,1.23,1.56,0.88,1.04,1.55
19470130,0.30,0.11,0.02,-0.33,-0.14,-0.15
19470131,0.57,0.85,0.58,0.26,0.35,0.41
19470201,0.65,0.82,1.50,0.40,0.49,0.94
19470203,0.07,0.30,0.63,0.37,0.21,0.29
19470204,0.11,-0.27,-0.22,0.55,0.12,-0.35
19470205,-0.12,0.24,-0.01,0.64,0.23,-0.17
19470206,-0.04,0.02,-0.46,-0.13,-0.19,0.00
19470207,1.37,1.62,2.59,1.37,1.09,2.03
19470208,0.76,0.71,0.41,0.55,0.16,0.38
19470210,-0.48,-0.54,-1.10,-0.47,-0.64,-1.13
19470211,0.74,0.37,0.85,0.49,0.44,0.33
19470213,-1.16,-1.10,-0.78,-1.03,-1.04,-1.14
19470214,-0.11,-0.29,0.03,-0.30,-0.06,-0.19
19470215,0.10,0.28,0.08,0.05,0.03,-0.31
19470217,0.08,-0.04,0.14,0.24,0.01,0.26
19470218,-0.39,-0.08,-0.01,-0.13,-0.15,-0.11
19470219,-0.85,-0.96,-1.17,-0.76,-0.68,-0.74
19470220,0.27,0.10,0.24,0.18,0.20,0.51
19470221,0.85,0.51,0.61,0.30,0.31,0.56
19470224,-1.08,-0.42,-0.81,-0.77,-0.52,-0.85
19470225,-2.09,-1.87,-2.13,-1.15,-1.19,-1.31
19470226,-1.39,-1.27,-1.50,-1.16,-1.08,-1.25
19470227,1.92,1.48,2.14,1.39,0.98,1.32
19470228,-0.39,-0.11,-0.02,-0.52,-0.04,-0.83
19470301,-0.14,0.21,-0.13,0.06,0.02,0.02
19470303,-0.49,-0.67,-0.61,-0.46,-0.36,-0.34
19470304,-0.33,-0.14,0.44,0.09,-0.21,0.04
19470305,1.32,1.03,1.47,1.29,0.93,1.36
19470306,0.23,0.27,0.42,0.40,0.59,0.27
19470307,-3.34,-2.70,-3.78,-3.16,-2.65,-3.23
19470308,-0.71,-1.11,-0.83,-0.54,-0.40,-0.42
19470310,-0.38,-0.51,-0.36,-0.43,-0.41,-0.57
19470311,-1.20,-1.36,-1.31,-1.09,-0.75,-0.55
19470312,0.65,0.61,1.28,0.73,0.78,0.75
19470313,0.04,0.36,-0.01,-0.08,-0.06,-0.14
19470314,-1.82,-1.46,-1.76,-1.23,-1.07,-1.07
19470315,0.00,0.04,-0.39,-0.17,-0.15,-0.06
19470317,0.48,0.25,0.23,0.56,0.15,0.52
19470318,0.60,0.69,0.98,1.02,0.99,0.95
19470319,0.86,0.41,0.76,0.39,0.77,0.28
19470320,-0.50,-0.30,-0.65,-0.25,-0.18,-0.25
19470321,0.64,0.38,0.74,1.03,0.90,1.12
19470322,0.31,0.44,0.58,0.31,0.23,0.08
19470324,-0.40,-0.46,-0.61,-0.69,-0.52,-0.73
19470325,-0.95,-0.92,-0.70,-0.73,-0.47,-0.95
19470326,0.96,0.83,1.05,1.26,0.95,1.47
19470327,1.78,1.71,2.06,1.52,1.02,1.38
19470328,0.16,0.11,-0.15,-0.44,-0.27,-0.16
19470329,-0.27,-0.22,-0.11,-0.14,-0.21,-0.42
19470331,-0.76,-0.85,-0.86,-0.92,-0.54,-0.79
19470401,-0.45,-0.29,0.22,0.22,0.09,0.11
19470402,0.29,-0.01,-0.03,-0.13,0.11,0.12
19470403,-0.68,-0.40,-0.53,-0.18,-0.39,-0.46
19470405,-0.04,-0.02,0.23,-0.23,0.20,0.18
19470407,-1.17,-1.02,-1.29,-0.74,-0.88,-0.93
19470408,-1.46,-1.29,-2.09,-1.37,-0.92,-1.58
19470409,0.09,-0.34,-0.18,-0.07,-0.36,0.24
19470410,0.03,0.19,0.54,0.25,0.07,0.01
19470411,-0.93,-0.99,-1.41,-0.51,-0.52,-0.97
19470412,-1.57,-1.31,-1.36,-1.13,-0.92,-1.11
19470414,-4.07,-4.14,-4.49,-3.16,-2.52,-3.05
19470415,-0.61,-0.41,-0.33,-0.02,0.03,-0.08
19470416,1.55,1.29,1.33,1.02,0.79,1.20
19470417,0.27,0.42,0.24,-0.04,0.30,-0.11
19470418,-2.07,-1.55,-2.00,-1.20,-0.99,-1.58
19470419,0.59,0.49,1.02,1.13,1.05,1.46
19470421,1.67,1.63,1.97,0.60,0.66,1.21
19470422,0.35,0.39,0.31,0.72,0.56,0.50
19470423,0.09,0.42,0.46,0.00,0.15,0.04
19470424,-0.86,-0.80,-0.87,-0.62,-0.55,-0.29
19470425,-1.00,-1.01,-1.07,-1.11,-0.67,-0.61
19470426,-0.05,0.05,-0.10,0.20,0.14,-0.05
19470428,0.04,-0.02,0.13,-0.15,0.01,-0.07
19470429,-0.86,-0.64,-0.47,-0.18,-0.05,-0.08
19470430,1.22,1.25,1.57,1.53,0.95,1.23
19470501,0.88,0.60,1.10,0.68,1.01,0.72
19470502,0.84,0.54,0.28,0.82,0.27,0.32
19470503,0.05,-0.02,0.07,0.36,0.18,0.14
19470505,-0.13,0.01,-0.01,-0.02,0.07,-0.04
19470506,-1.38,-1.18,-1.62,-1.24,-0.59,-0.95
19470507,-0.87,-0.55,-0.69,-0.20,0.23,-0.11
19470508,-0.33,-0.38,-0.78,-0.90,-0.08,-0.57
19470509,-0.92,-0.64,-0.65,-0.10,-0.12,-0.18
19470510,0.11,0.34,0.33,0.19,0.13,0.24
19470512,-1.05,-1.21,-1.20,-0.93,-1.09,-0.94
19470513,-2.54,-2.14,-2.47,-1.50,-1.65,-2.24
19470514,-0.77,-0.84,-0.84,-0.56,-0.46,-0.25
19470515,0.83,0.83,0.93,0.92,0.79,0.32
19470516,-3.17,-2.58,-3.03,-2.08,-1.67,-2.34
19470517,-1.60,-1.93,-2.30,-1.47,-1.25,-1.95
19470519,-0.90,-0.59,-0.34,0.19,0.10,0.12
19470520,1.32,1.10,0.66,0.65,0.28,0.61
19470521,1.05,0.80,1.86,1.57,1.49,1.59
19470522,1.54,1.76,2.29,0.76,0.84,0.89
19470523,0.70,0.47,0.55,0.24,0.38,0.52
19470524,-0.53,0.02,0.11,0.05,-0.08,0.03
19470526,-0.17,-0.69,-0.70,-0.68,-0.41,-0.81
19470527,-1.01,-0.21,-0.36,-0.14,-0.15,0.04
19470528,1.66,1.71,2.26,1.63,1.30,2.01
19470529,1.23,0.87,1.11,0.76,0.74,0.87
19470602,-1.78,-1.00,-1.23,-1.04,-0.87,-1.18
19470603,0.99,0.84,0.62,1.13,1.13,0.85
19470604,-0.68,0.01,-0.31,-0.36,-0.19,-0.62
19470605,-0.31,-0.11,-0.53,-0.16,0.10,-0.10
19470606,0.51,0.30,0.79,0.83,0.30,0.68
19470609,-0.64,-0.36,-0.40,-0.10,-0.41,-0.75
19470610,0.18,0.13,0.32,0.83,0.66,0.71
19470611,2.83,2.80,3.33,2.24,1.99,2.73
19470612,0.48,0.37,-0.05,-0.01,-0.30,-0.38
19470613,1.32,0.87,0.98,1.08,0.94,0.99
19470616,-0.30,0.20,-0.25,0.02,-0.04,-0.32
19470617,-0.29,-0.13,-0.46,-0.06,-0.30,-0.25
19470618,0.07,0.00,0.08,0.19,-0.36,0.08
19470619,0.92,0.91,1.35,1.22,0.79,0.96
19470620,0.92,0.77,1.23,0.19,0.66,0.66
19470623,1.06,0.67,0.41,0.48,0.50,0.49
19470624,-1.73,-1.46,-1.81,-1.70,-1.64,-2.00
19470625,0.02,-0.20,0.06,0.59,0.95,0.82
19470626,0.18,0.28,0.75,0.39,0.36,0.64
19470627,0.17,0.20,0.01,-0.05,0.01,0.21
19470630,0.43,0.15,0.15,0.61,0.26,0.29
19470701,1.07,1.37,2.22,1.30,1.48,2.16
19470702,0.88,1.09,0.98,0.09,-0.03,0.39
19470703,0.72,1.59,1.77,1.06,1.03,1.26
19470707,0.99,0.19,0.46,0.18,0.32,0.34
19470708,1.50,0.60,1.22,0.37,0.14,0.93
19470709,-0.70,-0.32,-1.00,-0.66,-0.72,-0.90
19470710,0.90,0.48,1.22,0.68,0.77,1.33
19470711,1.53,1.72,1.68,1.04,0.98,1.56
19470714,1.65,1.34,1.40,0.56,0.75,1.22
19470715,-0.34,-0.15,-0.46,-0.10,-0.14,-0.33
19470716,-0.07,-0.33,-0.02,0.11,-0.28,-0.26
19470717,-0.64,-0.27,-0.93,-0.89,-0.63,-0.47
19470718,-0.11,-0.30,-0.26,0.22,0.34,0.28
19470721,-0.34,0.04,0.10,-0.25,-0.23,0.26
19470722,-0.36,0.17,0.00,0.01,0.22,0.02
19470723,0.63,0.80,1.06,0.56,0.72,0.77
19470724,0.96,1.20,1.73,0.88,1.08,1.51
19470725,0.15,0.22,0.12,0.07,-0.22,-0.23
19470728,-1.04,-0.57,-1.34,-0.60,-0.67,-1.33
19470729,-2.33,-2.76,-3.60,-2.07,-1.75,-2.54
19470730,-1.17,-1.16,-1.29,-0.33,-0.78,-0.73
19470731,1.34,1.39,1.97,1.30,1.11,1.93
19470801,0.03,-0.04,0.16,0.42,0.19,0.03
19470804,-1.24,-1.00,-1.72,-1.06,-0.86,-1.52
19470805,0.16,0.20,0.44,0.31,0.19,0.40
19470806,-0.30,-0.60,-0.58,-0.30,-0.44,-0.42
19470807,-0.38,-0.28,-0.04,0.14,0.17,0.29
19470808,-0.99,-0.91,-1.52,-1.00,-1.05,-1.52
